Trying seed 0
41700000 enq, 97637 curr, 27 best, 3614.03 s
41800000 enq, 98044 curr, 27 best, 3627.73 s
41900000 enq, 101542 curr, 27 best, 3633.92 s
42000000 enq, 103245 curr, 27 best, 3640.45 s
42100000 enq, 101561 curr, 27 best, 3646.82 s
42200000 enq, 108279 curr, 27 best, 3653.06 s
42300000 enq, 112764 curr, 27 best, 3661.07 s
42400000 enq, 124796 curr, 27 best, 3669.20 s
42500000 enq, 125636 curr, 27 best, 3678.12 s
42600000 enq, 125147 curr, 27 best, 3686.75 s
42700000 enq, 124465 curr, 27 best, 3700.06 s
42800000 enq, 130682 curr, 27 best, 3707.00 s
42900000 enq, 132956 curr, 27 best, 3715.65 s
43000000 enq, 140553 curr, 27 best, 3722.98 s
43100000 enq, 146915 curr, 27 best, 3729.16 s
43200000 enq, 146992 curr, 27 best, 3736.73 s
43300000 enq, 154838 curr, 27 best, 3745.15 s
43400000 enq, 155983 curr, 27 best, 3759.75 s
43500000 enq, 156163 curr, 27 best, 3766.23 s
43600000 enq, 158544 curr, 27 best, 3772.80 s
43700000 enq, 158825 curr, 27 best, 3779.64 s
43800000 enq, 161895 curr, 27 best, 3786.75 s
43900000 enq, 162973 curr, 27 best, 3794.37 s
44000000 enq, 160314 curr, 27 best, 3803.11 s
44100000 enq, 160714 curr, 27 best, 3860.83 s
44200000 enq, 169883 curr, 27 best, 3869.50 s
44300000 enq, 169473 curr, 27 best, 3876.48 s
44400000 enq, 169996 curr, 27 best, 3884.13 s
44500000 enq, 170074 curr, 27 best, 3894.09 s
44600000 enq, 169602 curr, 27 best, 3913.56 s
44700000 enq, 168378 curr, 27 best, 3986.84 s
44800000 enq, 168190 curr, 27 best, 3994.92 s
44900000 enq, 168775 curr, 27 best, 4003.31 s
45000000 enq, 167392 curr, 27 best, 4012.78 s
45100000 enq, 167379 curr, 27 best, 4021.57 s
45200000 enq, 165239 curr, 27 best, 4122.58 s
45300000 enq, 165797 curr, 27 best, 4131.30 s
45400001 enq, 165104 curr, 27 best, 4138.92 s
45500000 enq, 165048 curr, 27 best, 4146.71 s
45600000 enq, 164833 curr, 27 best, 4155.69 s
45700000 enq, 164075 curr, 27 best, 4186.95 s
45800000 enq, 164360 curr, 27 best, 4290.00 s
45900000 enq, 163914 curr, 27 best, 4297.64 s
46000000 enq, 164017 curr, 27 best, 4304.25 s
46100000 enq, 163971 curr, 27 best, 4311.09 s
46200000 enq, 159433 curr, 27 best, 4320.37 s
46300000 enq, 159373 curr, 27 best, 4328.84 s
46400000 enq, 159298 curr, 27 best, 4336.06 s
46500000 enq, 158540 curr, 27 best, 4344.54 s
46600000 enq, 155235 curr, 27 best, 4356.86 s
46700000 enq, 156783 curr, 27 best, 4363.75 s
46800000 enq, 156079 curr, 27 best, 4370.94 s
46900000 enq, 155265 curr, 27 best, 4377.38 s
47000000 enq, 156014 curr, 27 best, 4383.65 s
47100000 enq, 155594 curr, 27 best, 4390.16 s
47200000 enq, 155192 curr, 27 best, 4397.78 s
47300000 enq, 155926 curr, 27 best, 4404.54 s
47400000 enq, 155406 curr, 27 best, 4411.03 s
47500000 enq, 155278 curr, 27 best, 4419.31 s
47600000 enq, 155138 curr, 27 best, 4434.31 s
47700000 enq, 137497 curr, 27 best, 4442.23 s
47800000 enq, 128462 curr, 27 best, 4448.71 s
47900000 enq, 110560 curr, 27 best, 4455.61 s
48000000 enq, 2112 curr, 27 best, 4466.75 s
48100000 enq, 3657 curr, 27 best, 4473.32 s
48200000 enq, 11252 curr, 27 best, 4479.15 s
48300000 enq, 11300 curr, 27 best, 4489.36 s
48400000 enq, 17513 curr, 27 best, 4505.40 s
48500000 enq, 5017 curr, 27 best, 4516.69 s
48600000 enq, 2342 curr, 27 best, 4524.77 s
48700000 enq, 2063 curr, 27 best, 4534.76 s
48800000 enq, 10681 curr, 27 best, 4544.69 s
48900000 enq, 10491 curr, 27 best, 4552.99 s
49000000 enq, 16414 curr, 27 best, 4560.21 s
49100000 enq, 16978 curr, 27 best, 4570.22 s
49200000 enq, 15328 curr, 27 best, 4579.99 s
49300000 enq, 21665 curr, 27 best, 4591.22 s
49400000 enq, 31451 curr, 27 best, 4601.01 s
49500000 enq, 28773 curr, 27 best, 4610.67 s
49600000 enq, 13869 curr, 27 best, 4620.22 s
49700000 enq, 16614 curr, 27 best, 4630.63 s
49800000 enq, 10618 curr, 27 best, 4639.97 s
49900000 enq, 13046 curr, 27 best, 4648.43 s
50000000 enq, 15706 curr, 27 best, 4656.16 s
50100000 enq, 13382 curr, 27 best, 4669.84 s
50200000 enq, 14523 curr, 27 best, 4676.88 s
50300000 enq, 16314 curr, 27 best, 4683.58 s
50400000 enq, 16408 curr, 27 best, 4693.24 s
50500000 enq, 15813 curr, 27 best, 4703.08 s
50600000 enq, 16368 curr, 27 best, 4712.70 s
50700000 enq, 16220 curr, 27 best, 4722.49 s
50800000 enq, 14602 curr, 27 best, 4737.93 s
50900000 enq, 16458 curr, 27 best, 4746.37 s
51000000 enq, 19085 curr, 27 best, 4752.57 s
51100000 enq, 23508 curr, 27 best, 4759.67 s
51200000 enq, 19489 curr, 27 best, 4767.21 s
51300000 enq, 22974 curr, 27 best, 4775.01 s
51400000 enq, 24053 curr, 27 best, 4782.03 s
51500000 enq, 26088 curr, 27 best, 4792.64 s
51600000 enq, 29354 curr, 27 best, 4805.14 s
51700000 enq, 30036 curr, 27 best, 4811.20 s
51800000 enq, 32708 curr, 27 best, 4817.77 s
51900000 enq, 32513 curr, 27 best, 4824.78 s
52000000 enq, 33026 curr, 27 best, 4832.75 s
52100000 enq, 35096 curr, 27 best, 4840.26 s
52200000 enq, 33178 curr, 27 best, 4848.60 s
